ADD TYG 567,3 25235 725182
ADD UJZ 799,4 49961 23501
ADD YGS 256,5 65350 583299
UPDATE ERC CXH 63,3 94461 887296
REMOVE WOS 850,5 8109 294176
UPDATE FWB JZU 97,2 32294 497714
REMOVE GGY 61,6 76321 688952
UPDATE EIH WOQ 31,6 89392 120278
REMOVE VAG 357,3 94927 304627
SEARCH XGQ 70,9 40559 373896
ADD AJW 658,8 43609 900484
REMOVE ANW 79,7 81164 325055
UPDATE FPT IVZ 83,4 99687 648787
UPDATE OAG EEZ 19,0 42840 747610
REMOVE FGQ 996,6 49368 492169
ADD TMG 382,8 15497 183381
UPDATE AGY BVC 12,9 82246 397290
ADD OKC 990,0 66307 682321
ADD HRU 113,8 46948 972490
ADD OFC 88,2 96579 464772
ADD EAE 545,0 95811 516606
REMOVE QAO 369,2 22427 529436
REMOVE VFM 368,8 38715 87200
ADD BSH 981,2 23184 734047
ADD WGE 150,0 28228 546717
UPDATE DCN TUA 43,5 36317 79375
REMOVE LRW 419,4 24718 367139
ADD XPX 808,7 58204 112200
UPDATE XUE IPH 22,4 64112 956525
ADD IUC 77,4 19605 705787
SEARCH TPI 364,1 26699 137823
SEARCH UXZ 745,0 21444 954847
REMOVE SXM 267,3 59629 86409
ADD XCE 83,1 19110 922252
REMOVE UTD 135,8 66448 207162
ADD JXB 642,2 61722 25729
REMOVE FLH 497,7 12555 749293
REMOVE ECY 895,4 34697 207260
SEARCH EGA 382,6 90664 308155
ADD ABJ 21,9 11111 166992
ADD CVE 676,4 8869 354626
ADD KOL 96,2 62816 275178
ADD QXS 720,1 7376 774656
REMOVE DOI 986,9 71249 7213
UPDATE BKF IJR 59,6 80412 470520
ADD RBI 82,1 29414 405014
ADD YSN 349,5 37235 874585
ADD QWB 115,4 30755 341440
UPDATE OBZ TOA 28,9 44894 621969
ADD GBI 19,1 84209 841356
ADD WLB 865,3 99415 813741
REMOVE JDM 786,7 39992 295787
ADD ARB 555,2 45639 853101
REMOVE BWS 179,0 11631 936841
REMOVE KMB 193,6 51195 451127
ADD SDB 73,3 83500 683727
SEARCH JER 515,3 86673 526882
REMOVE ORZ 222,8 9387 732363
ADD PRJ 892,4 34266 158637
REMOVE HGJ 535,2 81960 681308
SEARCH JWB 859,4 46834 703662
REMOVE SDY 958,2 79696 258801
ADD IGB 649,2 23236 295840
REMOVE HZY 349,2 78864 235145
ADD SVW 526,4 76368 153305
REMOVE NEH 994,4 60958 246885
REMOVE FPP 371,0 39538 688054
REMOVE OBZ 502,0 29708 377329
ADD WYO 930,0 13687 260061
ADD SYH 943,7 99936 643905
ADD FLW 927,4 76719 91988
REMOVE TAS 625,5 64481 451558
ADD URJ 896,7 1583 717676
ADD MDV 226,3 49274 451183
ADD ZLR 112,3 1615 816464
REMOVE IBH 163,3 52454 664159
REMOVE SOX 324,6 299 152833
ADD JZC 574,0 35907 722790
SEARCH NGG 500,9 13587 941451
ADD BHA 827,5 9396 359526
SEARCH IEN 327,9 12097 464424
ADD PWQ 782,3 63966 35726
ADD HIH 595,4 69128 431242
ADD PTM 336,7 75725 717422
UPDATE OZM CWU 90,4 28029 634025
ADD USI 204,3 24520 948268
ADD BDV 945,8 91821 444482
SEARCH HSB 666,9 75998 57758
SEARCH QKL 61,7 56175 135314
ADD CUJ 621,4 19238 835354
REMOVE TSF 378,7 21874 716511
ADD ZBG 153,6 69699 904701
REMOVE ZNH 79,6 76697 5135
ADD NZS 235,4 28986 1413
ADD FUJ 620,1 97261 192960
REMOVE RGG 343,4 16758 133370
ADD XFA 31,0 61406 548101
ADD XIS 923,1 33754 503106
ADD FAL 749,3 43906 10205
ADD BXB 74,1 66593 74832
REMOVE ZAD 71,8 83838 886688
ADD ZSK 12,3 60021 161163
REMOVE PHE 760,7 57729 255161
REMOVE HSM 28,9 67565 984058
UPDATE MGK OOV 32,0 16540 827375
ADD OLV 447,6 2462 87564
REMOVE XGQ 380,3 1884 617738
REMOVE RSO 530,6 98544 709010
REMOVE CMJ 296,6 21616 389264
REMOVE MSM 514,1 80825 472792
REMOVE KAL 159,8 10380 344551
REMOVE NZV 679,4 31743 906646
SEARCH UNC 177,1 31536 359142
ADD JQX 652,2 24350 531743
REMOVE SBO 792,4 2274 846785
ADD EPW 99,0 61874 427585
ADD CAA 408,0 82157 926556
SEARCH KJD 265,6 79928 861023
REMOVE CHQ 795,8 29431 360481
ADD OBA 689,0 8905 597000
REMOVE KIX 176,7 15149 61891
ADD AMR 503,0 41284 569219
SEARCH TRO 248,3 99783 772359
ADD NPN 716,7 51056 102428
SEARCH QLF 698,9 41090 699578
ADD FJF 146,6 16636 845494
ADD YAK 948,6 93672 133548
UPDATE BYF RGK 12,3 75223 579674
UPDATE CSM FAJ 31,3 9497 383084
ADD JEI 892,4 48785 576360
REMOVE JZS 871,1 29707 425862
REMOVE ELQ 518,4 76118 96448
ADD TLP 972,9 59359 198074
UPDATE LIB MSX 76,5 33789 461335
ADD RAC 725,7 75503 552986
REMOVE EQG 841,3 37352 339039
SEARCH QDL 438,9 33795 222366
REMOVE NMT 279,1 17182 379771
UPDATE EMF BJR 49,6 34227 377266
ADD OSK 278,7 71254 617615
SEARCH NRP 962,9 15624 807319
ADD QBR 864,4 99566 385567
UPDATE CBR KCM 69,6 61917 609744
SEARCH YSY 866,4 25826 874864
REMOVE VNO 905,0 986 894207
ADD UMD 79,6 19394 632987
ADD RSI 435,4 37066 759482
ADD VEL 589,0 20532 166513
REMOVE SWA 124,3 1944 698709
REMOVE APV 120,8 44246 998275
SEARCH NQR 761,4 9775 76278
ADD CDY 816,9 9342 194148
REMOVE BZN 22,8 67241 518912
ADD YAT 344,7 99309 363550
ADD PSX 636,9 67477 641668
UPDATE EQP QJR 26,5 92533 598324
REMOVE GVE 719,1 83796 459542
ADD UAB 310,2 90178 155537
ADD EQN 972,2 96877 934469
UPDATE JOR FAG 27,1 708 601691
REMOVE WBO 213,7 75116 77666
SEARCH JFL 523,6 10872 25743
REMOVE ZIG 491,2 84465 183667
ADD BJZ 113,7 87109 889162
ADD QHW 568,6 88490 877451
ADD NSG 71,5 7323 394841
ADD YVS 575,9 69197 734345
ADD GQZ 15,2 55239 698053
UPDATE QVG BKS 87,5 62271 986586
ADD DTQ 401,4 16428 739128
REMOVE VRE 460,0 79189 420569
UPDATE JPQ LHD 61,8 21967 991294
REMOVE SDZ 885,0 24649 6065
REMOVE GXV 338,4 23362 324414
ADD QKS 351,7 38861 959985
REMOVE VHI 920,7 31348 983757
REMOVE YKX 669,7 96531 332458
SEARCH VXY 179,0 72600 249264
REMOVE KMT 436,0 35235 334651
UPDATE GUI REC 48,0 21275 357123
UPDATE GLL SXQ 78,8 17278 206786
UPDATE XEW PCB 75,9 32368 197556
ADD YZC 297,5 99919 911398
REMOVE LRN 469,5 87741 601127
ADD GPH 859,1 39397 618402
REMOVE COS 312,5 12950 564648
ADD VYD 345,1 90384 495841
ADD JUQ 962,3 80762 345882
ADD OST 312,5 66589 406619
SEARCH ULZ 577,7 83246 788629
ADD TJO 836,0 67674 852254
REMOVE SPL 746,1 72669 506770
SEARCH AGU 233,6 84741 568767
ADD KOB 517,8 84975 354143
ADD QXF 670,1 86201 604170
ADD BYD 862,8 6707 294032
SEARCH HPL 527,2 38190 702099
ADD WRN 249,5 39681 910032
REMOVE TXC 882,9 74362 572413
REMOVE CDQ 911,7 94464 104670
REMOVE FPI 789,0 2931 420278
REMOVE WFK 126,2 1362 154926
SEARCH HKG 274,4 66549 829869
ADD ISK 163,6 9425 954504
SEARCH BPG 107,5 3115 859868
ADD CFM 789,0 63117 519097
REMOVE HOP 474,9 75751 561106
ADD ATY 378,1 11633 289091
SEARCH YWV 503,8 88747 330725
ADD AOQ 78,4 46262 388122
SEARCH KIM 289,9 6797 784091
UPDATE YYO OCG 93,8 66104 510311
ADD MVZ 781,5 12033 769338
ADD ANW 181,8 17251 284529
ADD MRN 684,4 99366 437644
SEARCH OVZ 361,9 56530 993544
REMOVE RGO 938,2 90731 795407
REMOVE GSB 76,9 38821 264884
SEARCH PBM 243,5 30169 277725
